,0,1
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6.264608831391859e+24
1,0x00000000219ab540356cbb839cbe05303d7705fa,5.625442000069e+24
2,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2.2968965580563448e+24
3,0x73bceb1cd57c711feac4224d062b0f6ff338501e,1.892923655082372e+24
4,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1.3787340663215214e+24
5,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,1.18949895358134e+24
6,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1.0760198616633756e+24
7,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1.04000001021431e+24
8,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,9.883745697988511e+23
9,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,9.405145845439321e+23
10,0xf977814e90da44bfa03b6295a0616a897441acec,8.909397275093444e+23
11,0x07ee55aa48bb72dcc6e9d78256648910de513eca,8.062411114846271e+23
12,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,8.000107604636809e+23
13,0xdc76cd25977e0a5ae17155770273ad58648900d3,7.999994379271447e+23
14,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,6.573341426969697e+23
15,0x28c6c06298d514db089934071355e5743bf21d60,6.073641637169884e+23
16,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,5.60000000065e+23
17,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,4.621975959325696e+23
18,0xe92d1a43df510f82c66382592a047d288f85226f,4.500000500857264e+23
19,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,3.990830954927444e+23
20,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,3.94371898452211e+23
21,0xa929022c9107643515f5c777ce9a910f0d1e490c,3.84424721e+23
22,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,3.8069166483350693e+23
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,3.2500191354528e+23
24,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,3.2500048001707026e+23
25,0x3bfc20f0b9afcace800d73d2191166ff16540258,3.062766223613999e+23
26,0x8103683202aa8da10536036edef04cdd865c225e,2.7500002742e+23
27,0x66f820a414680b5bcda5eeca5dea238543f42054,2.6169989534770594e+23
28,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,2.5424845391694e+23
29,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,2.5000001704597133e+23
30,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,2.3286065605546142e+23
31,0x1bc2a9f370a404830abd2eae3fab995bb711b8b2,2.2838891672314824e+23
32,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,2.2265529221856233e+23
33,0x189b9cbd4aff470af2c0102f365fc1823d857965,2.2148319899746922e+23
34,0x0548f59fee79f8832c299e01dca5c76f034f558e,2.210219349459414e+23
35,0x59448fe20378357f206880c58068f095ae63d5a5,2.1536875560182e+23
36,0xc5424b857f758e906013f3555dad202e4bdb4567,2.1111836272704007e+23
37,0x9845e1909dca337944a0272f1f9f7249833d2d19,2.10001e+23
38,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,2.00003663772e+23
39,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,2.0000010703597132e+23
40,0x1ffedd7837bcbc53f91ad4004263deb8e9107540,2.000000004e+23
41,0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,1.99580321715139e+23
42,0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,1.975709552547134e+23
43,0xfc39f0dc7a1c5d5cd1cdf3b460d5fa99a56abf65,1.9726232956934975e+23
44,0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,1.9691968973512595e+23
45,0x024861e9f89d44d00a7ada4aa89fe03cab9387cd,1.9602197185848084e+23
46,0x19184ab45c40c2920b0e0e31413b9434abd243ed,1.9476739394709296e+23
