bids,asks,version,time
"[3485.0, 33.74]","[3502.0, 15.0346]",124926913972,2021-05-06 10:42:09.697
"[3484.0, 11.645]","[3503.0, 23.6025]",124926913972,2021-05-06 10:42:09.697
"[3483.0, 7.1215]","[3504.0, 21.0674]",124926913972,2021-05-06 10:42:09.697
"[3482.0, 4.0878]","[3505.0, 63.4614]",124926913972,2021-05-06 10:42:09.697
"[3481.0, 18.4656]","[3506.0, 13.9602]",124926913972,2021-05-06 10:42:09.697
"[3480.0, 9.9246]","[3507.0, 4.0122]",124926913972,2021-05-06 10:42:09.697
"[3479.0, 144.9339]","[3508.0, 26.8445]",124926913972,2021-05-06 10:42:09.697
"[3478.0, 53.6264]","[3509.0, 2.7303]",124926913972,2021-05-06 10:42:09.697
"[3477.0, 75.6941]","[3510.0, 72.2692]",124926913972,2021-05-06 10:42:09.697
"[3476.0, 3.7117]","[3511.0, 3.6617]",124926913972,2021-05-06 10:42:09.697
"[3475.0, 0.3809]","[3512.0, 5.2576]",124926913972,2021-05-06 10:42:09.697
"[3474.0, 0.6668]","[3513.0, 4.8955]",124926913972,2021-05-06 10:42:09.697
"[3493.0, 16.0568]","[3494.0, 4.0987]",124926914658,2021-05-06 10:42:10.688
"[3492.0, 66.704]","[3495.0, 14.0565]",124926914658,2021-05-06 10:42:10.688
"[3491.0, 100.2247]","[3496.0, 94.0244]",124926914658,2021-05-06 10:42:10.688
"[3490.0, 23.6966]","[3497.0, 88.3536]",124926914658,2021-05-06 10:42:10.688
"[3489.0, 21.1804]","[3498.0, 16.821]",124926914658,2021-05-06 10:42:10.688
"[3488.0, 19.2336]","[3499.0, 26.7379]",124926914658,2021-05-06 10:42:10.688
"[3487.0, 24.3944]","[3500.0, 87.4929]",124926914658,2021-05-06 10:42:10.688
"[3486.0, 49.3411]","[3501.0, 57.9421]",124926914658,2021-05-06 10:42:10.688
"[3485.0, 33.7114]","[3502.0, 30.0145]",124926914658,2021-05-06 10:42:10.688
"[3484.0, 17.0684]","[3503.0, 23.6025]",124926914658,2021-05-06 10:42:10.688
"[3483.0, 1.6941]","[3504.0, 18.9736]",124926914658,2021-05-06 10:42:10.688
"[3482.0, 3.4276]","[3505.0, 63.4332]",124926914658,2021-05-06 10:42:10.688
"[3481.0, 18.3632]","[3506.0, 14.0338]",124926914658,2021-05-06 10:42:10.688
"[3480.0, 1197.9388]","[3507.0, 3.9678]",124926914658,2021-05-06 10:42:10.688
"[3479.0, 144.9339]","[3508.0, 1214.871]",124926914658,2021-05-06 10:42:10.688
"[3478.0, 53.6717]","[3509.0, 2.6919]",124926914658,2021-05-06 10:42:10.688
"[3477.0, 75.661]","[3510.0, 72.2963]",124926914658,2021-05-06 10:42:10.688
"[3476.0, 3.7372]","[3511.0, 3.6504]",124926914658,2021-05-06 10:42:10.688
"[3475.0, 0.3826]","[3512.0, 5.2576]",124926914658,2021-05-06 10:42:10.688
"[3474.0, 0.679]","[3513.0, 4.8955]",124926914658,2021-05-06 10:42:10.688
